,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
0,,,,,,,,,,,,,,,,,,,
1,962456,49.8,233291,77512,20180442,사자,2019-07-31,2,0,OLD,2,7390324085,2078130895,50.8,699799905,16.6,1154,4673,20190803
2,528249,17.4,124694,18468,20183844,마이펫의 이중생활 2,2019-07-31,3,0,OLD,3,3950187425,1031340325,19.8,170454855,8.2,933,3022,20190803
3,4413466,28.6,103320,22967,20175771,라이온 킹,2019-07-17,4,0,OLD,4,38790202950,894826570,31.7,215507170,7.1,839,2153,20190803
4,12155750,28,86841,18998,20183867,알라딘,2019-05-23,5,0,OLD,5,103553251719,779971510,29.3,176772640,6.2,691,1603,20190803
5,483102,20.6,45484,7775,20198323,레드슈즈,2019-07-25,6,0,OLD,6,3755734820,369590000,22.2,67140670,2.9,558,1002,20190803
6,7987639,24.7,10767,2131,20196309,스파이더맨: 파 프롬 홈,2019-07-02,7,0,OLD,7,68726583480,95749240,26.1,19829180,0.8,173,238,20190803
7,925513,-21.7,6754,-1867,20182490,나랏말싸미,2019-07-24,8,0,OLD,8,7625185333,53568030,-19.5,-12936110,0.4,237,318,20190803
8,10062763,37.2,3491,947,20183782,기생충,2019-05-30,9,0,OLD,9,85696438085,31386840,39.3,8851080,0.3,51,84,20190803
9,182886,55.2,2912,1036,20190002,롱 샷,2019-07-24,10,2,OLD,10,1610037627,26366260,57.9,9670080,0.2,43,65,20190803
10,589887,89.3,199419,94081,20182490,나랏말싸미,2019-07-24,2,0,OLD,2,4891502623,1740563822,90.7,827615941,19.6,1016,4850,20190727
11,11493202,105.2,179395,91986,20183867,알라딘,2019-05-23,3,0,OLD,3,98072620479,1605272070,105.2,822881310,18.1,1015,3302,20190727
12,7800233,96.5,83313,40919,20196309,스파이더맨: 파 프롬 홈,2019-07-02,4,0,OLD,4,67165459640,736268560,96.5,361657600,8.3,676,1818,20190727
13,138044,122,68894,37867,20198323,레드슈즈,2019-07-25,5,0,OLD,5,1106150850,567316750,127.2,317608560,6.4,709,1464,20190727
14,137204,75,33799,14480,20192725,명탐정 코난: 감청의 권,2019-07-24,6,0,OLD,6,1092377447,283419128,75.1,121529419,3.2,568,1072,20190727
15,116861,54.5,28091,9908,20190002,롱 샷,2019-07-24,7,0,OLD,7,1039885547,258825498,53.8,90591029,2.9,437,835,20190727
16,3341995,107.8,13501,7005,20184047,토이 스토리 4,2019-06-20,8,0,OLD,8,28298225950,119191900,116.8,64213780,1.3,199,291,20190727
17,10034925,77.3,6879,3000,20183782,기생충,2019-05-30,9,0,OLD,9,85461261705,62986240,76.2,27245980,0.7,94,151,20190727
18,280374,215.6,3396,2320,20190273,천로역정: 천국을 찾아서,2019-06-13,10,3,OLD,10,2096177630,21695980,197.7,14408900,0.2,37,48,20190727
19,10746169,114,205119,109264,20183867,알라딘,2019-05-23,2,1,OLD,2,91687836369,1809362310,112,955817250,16.2,901,2863,20190720
20,7336723,87.7,188430,88042,20196309,스파이더맨: 파 프롬 홈,2019-07-02,3,-1,OLD,3,63232845400,1644501570,86.8,764369020,14.7,866,3108,20190720
21,3256256,104.3,28625,14614,20184047,토이 스토리 4,2019-06-20,4,0,OLD,4,27587193690,242867540,101.3,122209190,2.2,401,639,20190720
